,index,ref,ref_p5,ref_p95,2050hoog,2050hoog_p5,2050hoog_p95,2050laag,2050laag_p5,2050laag_p95,2100hoog,2100hoog_p5,2100hoog_p95,2100laag,2100laag_p5,2100laag_p95
0,1,1.1125,0.0,3.0,1.4,0.0,4.0,1.1333333333333333,0.0,3.0,2.095833333333333,0.0,5.0,1.1333333333333333,0.0,3.0
1,2,1.1125,0.0,3.0,1.4,0.0,4.0,1.1333333333333333,0.0,3.0,2.095833333333333,0.0,5.0,1.1333333333333333,0.0,3.0
2,3,0.95,0.0,3.0,1.35,0.0,4.0,0.9208333333333333,0.0,2.0,1.9791666666666667,0.0,4.049999999999983,0.9208333333333333,0.0,2.0
3,4,0.95,0.0,3.0,1.35,0.0,4.0,0.9208333333333333,0.0,2.0,1.9791666666666667,0.0,4.049999999999983,0.9208333333333333,0.0,2.0
4,5,1.0,0.0,3.0,1.4625,0.0,4.0,1.0166666666666666,0.0,3.0,2.1083333333333334,0.0,5.0,1.0166666666666666,0.0,3.0
5,6,1.1166666666666667,0.0,3.0,1.625,0.0,4.0,1.2208333333333334,0.0,3.0,2.470833333333333,0.0,5.049999999999983,1.2208333333333334,0.0,3.0
6,7,1.2333333333333334,0.0,3.0,1.7416666666666667,0.0,4.0,1.25,0.0,3.0,2.5875,0.0,6.0,1.25,0.0,3.0
7,8,1.2333333333333334,0.0,3.0,1.7416666666666667,0.0,4.0,1.25,0.0,3.0,2.5875,0.0,6.0,1.25,0.0,3.0
8,9,1.4208333333333334,0.0,4.0,1.7708333333333333,0.0,5.0,1.3708333333333333,0.0,4.0,2.5625,0.0,6.0,1.3708333333333333,0.0,4.0
9,10,1.5625,0.0,4.0,1.9375,0.0,5.0,1.5416666666666667,0.0,4.0,2.7625,0.0,6.0,1.5416666666666667,0.0,4.0
10,11,1.5625,0.0,4.0,1.9375,0.0,5.0,1.5416666666666667,0.0,4.0,2.7625,0.0,6.0,1.5416666666666667,0.0,4.0
11,12,1.4666666666666666,0.0,3.049999999999983,1.7333333333333334,0.0,4.0,1.5083333333333333,0.0,3.049999999999983,2.654166666666667,0.0,5.0,1.5083333333333333,0.0,3.049999999999983
12,13,1.4416666666666667,0.0,3.0,1.7291666666666667,0.0,4.0,1.5041666666666667,0.0,4.0,2.6458333333333335,0.0,6.0,1.5041666666666667,0.0,4.0
13,14,1.4708333333333334,0.0,4.0,1.8583333333333334,0.0,4.0,1.4041666666666666,0.0,3.0,2.6791666666666667,0.0,6.0,1.4041666666666666,0.0,3.0
14,15,1.4708333333333334,0.0,4.0,1.8583333333333334,0.0,4.0,1.4041666666666666,0.0,3.0,2.6791666666666667,0.0,6.0,1.4041666666666666,0.0,3.0
15,16,1.4125,0.0,4.0,1.7791666666666666,0.0,4.0,1.3541666666666667,0.0,3.0,2.625,0.0,6.0,1.3541666666666667,0.0,3.0
16,17,1.1416666666666666,0.0,3.0,1.4583333333333333,0.0,3.0,0.9375,0.0,3.0,2.0083333333333333,0.0,5.0,0.9375,0.0,3.0
17,18,1.1416666666666666,0.0,3.0,1.4583333333333333,0.0,3.0,0.9375,0.0,3.0,2.0083333333333333,0.0,5.0,0.9375,0.0,3.0
