Jaar,Jaargemiddelde,Trend metingen,Lage uitstootscenario,Lage uitstootscenario-range (low),Lage uitstootscenario-range (high),2050laag,2100laag,Hoge uitstootscenario,Hoge uitstootscenario-range (low),Hoge uitstootscenario-range (high),2050hoog,2100hoog
1995,-0.2,-1.8,-2.419657498864084,-2.419657498864084,-2.419657498864084,,,-2.6544477791686303,-2.6544477791686303,-2.6544477791686303,,
1996,-11.6,-1.7,-2.171537420536312,-2.3839492910879825,-1.9590542580550838,,,-2.3778527223459816,-2.572291712703853,-2.1836718946280307,,
1997,-5.9,-1.5,-1.9234173422085397,-2.348241083311881,-1.4984510172460834,,,-2.101257665523333,-2.490135646239076,-1.7128960100874306,,
1998,2.2,-1.3,-1.6752972638807673,-2.3125328755357795,-1.0378477764370833,,,-1.8246626087006836,-2.407979579774299,-1.242120125546831,,
1999,1.7,-1.1,-1.427177185552995,-2.276824667759678,-0.5772445356280829,,,-1.548067551878035,-2.3258235133095218,-0.7713442410062312,,
2000,1.2,-0.9,-1.1790571072252227,-2.2411164599835764,-0.11664129481908247,,,-1.2714724950553862,-2.2436674468447446,-0.3005683564656314,,
2001,1.9,-0.7,-0.9309370288974503,-2.205408252207475,0.3439619459899177,,,-0.9948774382327372,-2.1615113803799675,0.1702075280749682,,
2002,0.4,-0.4,-0.6828169505696782,-2.1697000444313734,0.8045651867989183,,,-0.7182823814100883,-2.0793553139151904,0.6409834126155682,,
2003,-1,-0.2,-0.4346968722419058,-2.133991836655272,1.2651684276079185,,,-0.44168732458743953,-1.997199247450413,1.1117592971561678,,
2004,2.1,0.1,-0.18657679391413362,-2.0982836288791704,1.725771668416919,,,-0.1650922677647908,-1.9150431809856359,1.5825351816967679,,
2005,0.3,0.4,0.061543284413638766,-2.0625754211030687,2.1863749092259193,,,0.11150278905785793,-1.8328871145208587,2.0533110662373675,,
2006,-0.1,0.7,0.30966336274141115,-2.0268672133269674,2.6469781500349194,,,0.3880978458805071,-1.7507310480560814,2.524086950777967,,
